,Log2 fold change,std error (log2),Lower confidence limit (log2),Upper confidence limit (log2),Linear fold change,Lower confidence limit (linear),Upper confidence limit (linear),P-value,BY.p.value,method,Gene.sets,probe.ID
FA2H-mRNA,1.42,0.368,0.696,2.14,2.67,1.62,4.41,0.000999,0.202,lm.nb,"Myelogenesis, Oligodendrocyte DifferentiationMaturation",NM_024306.2:360
STAT1-mRNA,-0.811,0.212,-1.23,-0.395,0.57,0.428,0.76,0.00106,0.202,lm.nb,"JAK-STAT, Primed Microglia",NM_139266.1:455
SLC38A2-mRNA,0.905,0.237,0.44,1.37,1.87,1.36,2.58,0.00107,0.202,lm.nb,"GABAergic Synapse, Glutamatergic Synapse, Oligodendrocyte Markers",NM_018976.4:1170
CSF1R-mRNA,1.15,0.3,0.557,1.74,2.21,1.47,3.33,0.00108,0.202,lm.nb,"Cytokines, Homeostatic Microglia, Microglia Neurodegenerative Phenotype (MGnD), Microglial Markers, Primed Microglia",NM_005211.3:455
VDAC1-mRNA,-0.621,0.166,-0.946,-0.295,0.65,0.519,0.815,0.00129,0.231,lm.nb,"Autophagy, Calcium Signaling",NM_003374.3:755
KPNA1-mRNA,-0.361,0.1,-0.557,-0.164,0.779,0.68,0.892,0.00179,0.306,lm.nb,"Apoptosis, Interferon Signaling",NM_002264.2:1420
ATP5PB-mRNA,-0.506,0.141,-0.782,-0.229,0.704,0.581,0.853,0.00185,0.306,lm.nb,Glucose Metabolism,NM_001688.4:645
PRKAG1-mRNA,-0.818,0.23,-1.27,-0.368,0.567,0.415,0.775,0.00196,0.306,lm.nb,Glucose Metabolism,NM_002733.3:825
CHI3L1-mRNA,-2.78,0.781,-4.31,-1.25,0.146,0.0505,0.422,0.00198,0.306,lm.nb,Astrocyte Markers,NM_001276.2:475
BHLHE40-mRNA,-0.587,0.166,-0.912,-0.262,0.666,0.531,0.834,0.00206,0.306,lm.nb,"Circadian Signaling, Microglia Neurodegenerative Phenotype (MGnD)",NM_003670.2:716
GSK3B-mRNA,-0.39,0.11,-0.606,-0.174,0.763,0.657,0.887,0.00209,0.306,lm.nb,"Cell Cycle, Cytoskeletal Dynamics, Neurogenesis, Neurotrophin Signaling, Wnt Signaling",NM_002093.2:925
ELOC-mRNA,-0.71,0.205,-1.11,-0.309,0.611,0.463,0.807,0.00242,0.345,lm.nb,"Antigen Processing and Presentation, Hypoxia",NM_001204857.1:124
ABI2-mRNA,-0.354,0.103,-0.556,-0.152,0.782,0.68,0.9,0.00261,0.352,lm.nb,"Angiogenesis, Neurogenesis",NM_005759.5:1160
TLR4-mRNA,0.971,0.283,0.417,1.53,1.96,1.34,2.88,0.00262,0.352,lm.nb,"Apoptosis, Astrocyte DifferentiationFunction, NF-kappaB Signaling, NO Metabolism and Signaling",NM_138554.2:2570
ANAPC1-mRNA,-0.423,0.125,-0.668,-0.178,0.746,0.63,0.884,0.00296,0.382,lm.nb,Cell Cycle,NM_022662.2:1990
TREM2-mRNA,1.22,0.361,0.511,1.93,2.33,1.43,3.8,0.00301,0.382,lm.nb,"Astrocyte DifferentiationFunction, Microglia Neurodegenerative Phenotype (MGnD), Stage 2 DAM",NM_018965.3:355
ARPC2-mRNA,-0.309,0.0918,-0.489,-0.129,0.807,0.713,0.914,0.00308,0.382,lm.nb,Phagocytosis,NM_152862.1:755
ERMN-mRNA,1.08,0.325,0.447,1.72,2.12,1.36,3.3,0.0033,0.391,lm.nb,"Cytoskeletal Dynamics, Oligodendrocyte Markers",NM_001304344.1:440
QDPR-mRNA,0.867,0.26,0.357,1.38,1.82,1.28,2.6,0.00331,0.391,lm.nb,Oligodendrocyte Markers,NM_001306140.1:305
EIF2B5-mRNA,0.267,0.0813,0.107,0.426,1.2,1.08,1.34,0.00373,0.422,lm.nb,"Astrocyte DifferentiationFunction, Myelogenesis, Oligodendrocyte DifferentiationMaturation",NM_003907.2:1098
MYRF-mRNA,1.31,0.4,0.523,2.09,2.47,1.44,4.26,0.00387,0.422,lm.nb,"Myelogenesis, Oligodendrocyte DifferentiationMaturation",NM_013279.4:1130
MAFB-mRNA,0.61,0.187,0.243,0.977,1.53,1.18,1.97,0.00392,0.422,lm.nb,"Microglia Neurodegenerative Phenotype (MGnD), Microglial Markers",NM_005461.4:1231
ZPR1-mRNA,-0.544,0.167,-0.87,-0.217,0.686,0.547,0.861,0.00392,0.422,lm.nb,"Cytoskeletal Dynamics, Neurogenesis",NM_003904.3:1215
IGFBP5-mRNA,1.03,0.316,0.405,1.65,2.04,1.32,3.13,0.00409,0.426,lm.nb,Insulin Signaling,NM_000599.3:1188
STAT2-mRNA,0.444,0.137,0.175,0.713,1.36,1.13,1.64,0.00413,0.426,lm.nb,JAK-STAT,NM_005419.3:1390
FABP5-mRNA,-1.67,0.526,-2.7,-0.635,0.315,0.154,0.644,0.00485,0.487,lm.nb,Microglia Neurodegenerative Phenotype (MGnD),NM_001444.1:100
CSNK2A1/3-mRNA,-0.406,0.128,-0.658,-0.154,0.755,0.634,0.899,0.00493,0.487,lm.nb,"NF-kappaB Signaling, Wnt Signaling",NM_001895.4:689
ACADSB-mRNA,-0.797,0.257,-1.3,-0.292,0.576,0.406,0.817,0.00571,0.545,lm.nb,Lipid Metabolism,NM_001609.3:770
CAMK4-mRNA,-0.756,0.244,-1.23,-0.277,0.592,0.425,0.825,0.00573,0.545,lm.nb,Calcium Signaling,NM_001744.3:1220
FOS-mRNA,-1.66,0.543,-2.72,-0.592,0.317,0.152,0.663,0.00631,0.588,lm.nb,"MAPK & PI3K, T-cell signaling",NM_005252.3:554
TGFB1-mRNA,0.779,0.261,0.267,1.29,1.72,1.2,2.45,0.00735,0.671,lm.nb,"Microglia Neurodegenerative Phenotype (MGnD), TGF-Beta Signaling",NM_000660.4:1438
EGFR-mRNA,0.633,0.214,0.214,1.05,1.55,1.16,2.07,0.00769,0.684,lm.nb,"Astrocyte DifferentiationFunction, MAPK & PI3K, Neurogenesis",NM_201282.1:1354
BHLHE41-mRNA,0.533,0.181,0.179,0.888,1.45,1.13,1.85,0.00796,0.684,lm.nb,"Circadian Signaling, Microglial Markers",NM_030762.2:655
NRCAM-mRNA,-0.352,0.12,-0.586,-0.117,0.784,0.666,0.922,0.0081,0.684,lm.nb,"Astrocyte Markers, Cell Migration, Cytoskeletal Dynamics, Neurogenesis",NM_005010.4:875
CTSS-mRNA,0.879,0.3,0.291,1.47,1.84,1.22,2.77,0.00833,0.684,lm.nb,"Apoptosis, Homeostatic Microglia",NM_004079.3:685
CXCL8-mRNA,-2.26,0.773,-3.78,-0.745,0.209,0.073,0.597,0.0084,0.684,lm.nb,"Chemokines, NF-kappaB Signaling",NM_000584.3:221
NCAM1-mRNA,0.333,0.114,0.109,0.557,1.26,1.08,1.47,0.00856,0.684,lm.nb,"Cell Migration, Neurogenesis, Neuronal Markers",NM_000615.5:1620
ATP6V1G1-mRNA,-0.432,0.148,-0.723,-0.142,0.741,0.606,0.907,0.00857,0.684,lm.nb,"Ion Transport, Phagocytosis",NM_004888.4:300
ADCYAP1R1-mRNA,0.558,0.192,0.182,0.934,1.47,1.13,1.91,0.00865,0.684,lm.nb,"Astrocyte Markers, Neuroactive Ligands and Receptors, Neurotrophin Signaling",NM_001118.3:935
PPP2CA-mRNA,-0.505,0.174,-0.845,-0.164,0.705,0.557,0.892,0.00875,0.684,lm.nb,TGF-Beta Signaling,NM_002715.2:1075
RTN4-mRNA,-0.585,0.202,-0.98,-0.189,0.667,0.507,0.877,0.00897,0.69,lm.nb,"Blood Brain Barrier, Neurogenesis",NM_007008.2:275
FCGRT-mRNA,0.789,0.275,0.25,1.33,1.73,1.19,2.51,0.00948,0.718,lm.nb,Astrocyte Markers,XM_011526628.1:205
PRKAR1A-mRNA,-0.441,0.155,-0.744,-0.137,0.737,0.597,0.909,0.00999,0.745,lm.nb,Insulin Signaling,NM_212472.1:367
B4GALT5-mRNA,-0.479,0.169,-0.81,-0.148,0.718,0.57,0.903,0.0102,0.752,lm.nb,"Myelogenesis, Oligodendrocyte DifferentiationMaturation",NM_004776.3:930
KCNQ3-mRNA,-0.83,0.294,-1.41,-0.253,0.562,0.377,0.839,0.0105,0.762,lm.nb,"Cholinergic Synapse, Ion Transport",NM_004519.2:665
JUN-mRNA,-0.763,0.271,-1.29,-0.232,0.589,0.408,0.852,0.0107,0.762,lm.nb,"MAPK & PI3K, Microglia Neurodegenerative Phenotype (MGnD), Microglial Markers, Neurogenesis, T-cell signaling, Wnt Signaling",NM_002228.3:1952
SPI1-mRNA,0.657,0.236,0.195,1.12,1.58,1.14,2.17,0.0114,0.765,lm.nb,Microglia Neurodegenerative Phenotype (MGnD),NM_003120.1:730
ADAMTS1-mRNA,-0.971,0.349,-1.65,-0.288,0.51,0.318,0.819,0.0114,0.765,lm.nb,Microglial Markers,NM_006988.3:2840
SLC46A1-mRNA,0.533,0.192,0.157,0.909,1.45,1.12,1.88,0.0115,0.765,lm.nb,Ion Transport,NM_001242366.1:754
C3-mRNA,1.18,0.424,0.348,2.01,2.26,1.27,4.03,0.0115,0.765,lm.nb,"Complement System, Neuroactive Ligands and Receptors, Primed Microglia",NM_000064.2:4396
DLAT-mRNA,-0.487,0.175,-0.83,-0.144,0.714,0.563,0.905,0.0115,0.765,lm.nb,Glucose Metabolism,NM_001931.5:1825
TSC1-mRNA,0.267,0.0969,0.0768,0.457,1.2,1.05,1.37,0.0123,0.794,lm.nb,"Autophagy, Cytoskeletal Dynamics, Insulin Signaling, Neurogenesis",NM_001162427.1:2072
RASGRF1-mRNA,-0.633,0.23,-1.09,-0.182,0.645,0.471,0.882,0.0124,0.794,lm.nb,"MAPK & PI3K, Neurogenesis",NM_001145648.1:3444
TRIM68-mRNA,0.236,0.086,0.0676,0.405,1.18,1.05,1.32,0.0125,0.794,loglinear,Interferon Signaling,NM_001304496.2:560
PAK1-mRNA,-0.805,0.297,-1.39,-0.223,0.572,0.382,0.857,0.0134,0.845,lm.nb,"Cell Migration, Cytoskeletal Dynamics, MAPK & PI3K, Neurogenesis, Phagocytosis, T-cell signaling",NM_002576.3:975
GBP2-mRNA,-1.55,0.576,-2.67,-0.418,0.342,0.157,0.748,0.0142,0.863,lm.nb,"A1 Astrocyte, Interferon Signaling, Primed Microglia",NM_004120.3:780
PTPN1-mRNA,-0.424,0.159,-0.735,-0.114,0.745,0.601,0.924,0.0145,0.863,lm.nb,"Insulin Signaling, Interferon Signaling",NM_002827.3:664
MEAF6-mRNA,-0.397,0.149,-0.689,-0.106,0.759,0.62,0.929,0.0147,0.863,lm.nb,"Myelogenesis, Neurogenesis",NM_001270875.2:180
GPRASP1-mRNA,-0.726,0.272,-1.26,-0.193,0.605,0.418,0.875,0.0148,0.863,lm.nb,Primed Microglia,NM_001099410.1:1375
LGALS3-mRNA,-0.991,0.372,-1.72,-0.262,0.503,0.303,0.834,0.0149,0.863,lm.nb,"Microglia Neurodegenerative Phenotype (MGnD), Primed Microglia",NM_001177388.1:495
CLTC-mRNA,-0.391,0.147,-0.68,-0.103,0.762,0.624,0.931,0.015,0.863,lm.nb,"Gap Junctions, Wnt Signaling",NM_004859.2:290
PDGFRA-mRNA,0.494,0.186,0.129,0.86,1.41,1.09,1.81,0.0152,0.863,lm.nb,MAPK & PI3K,NM_006206.3:1925
IL18-mRNA,1.21,0.455,0.314,2.1,2.31,1.24,4.28,0.0154,0.863,lm.nb,"Astrocyte Markers, Cytokines",NM_001562.3:364
HK1-mRNA,-0.32,0.121,-0.556,-0.0832,0.801,0.68,0.944,0.0154,0.863,lm.nb,Glucose Metabolism,NM_033496.2:1900
CPNE2-mRNA,0.544,0.206,0.141,0.948,1.46,1.1,1.93,0.0156,0.863,lm.nb,Astrocyte Markers,NM_152727.5:1126
CNP-mRNA,0.675,0.256,0.174,1.18,1.6,1.13,2.26,0.0157,0.863,lm.nb,"Myelogenesis, Oligodendrocyte DifferentiationMaturation",NM_033133.5:826
YWHAE-mRNA,-0.397,0.152,-0.694,-0.0997,0.76,0.618,0.933,0.0165,0.896,lm.nb,"Cell Cycle, Neurogenesis, Neurotrophin Signaling",NM_006761.4:770
ACSL3-mRNA,-0.435,0.167,-0.762,-0.108,0.74,0.59,0.928,0.0169,0.904,lm.nb,Lipid Metabolism,NM_203372.1:1219
GSN-mRNA,0.738,0.283,0.182,1.29,1.67,1.13,2.45,0.017,0.904,lm.nb,"Cytoskeletal Dynamics, Oligodendrocyte DifferentiationMaturation, Phagocytosis",NM_000177.4:1075
KCTD12-mRNA,0.679,0.262,0.166,1.19,1.6,1.12,2.29,0.0173,0.91,lm.nb,GABAergic Synapse,NM_138444.2:450
KRAS-mRNA,-0.489,0.189,-0.86,-0.118,0.712,0.551,0.921,0.0177,0.91,lm.nb,"Astrocyte DifferentiationFunction, MAPK & PI3K",NM_033360.2:267
LGMN-mRNA,-0.639,0.248,-1.12,-0.154,0.642,0.459,0.899,0.0178,0.91,lm.nb,"Antigen Processing and Presentation, Microglial Markers",NM_001008530.2:522
PSMD14-mRNA,-0.308,0.12,-0.543,-0.0739,0.808,0.686,0.95,0.018,0.91,lm.nb,Antigen Processing and Presentation,NM_005805.4:700
PTPRM-mRNA,-0.418,0.162,-0.737,-0.1,0.748,0.6,0.933,0.018,0.91,lm.nb,"Cell Migration, Neurogenesis",NM_002845.3:1680
DNAJB9-mRNA,-0.589,0.23,-1.04,-0.139,0.665,0.487,0.908,0.0185,0.917,lm.nb,Proteotoxic Stress,NM_012328.1:380
PSMC6-mRNA,-0.394,0.154,-0.696,-0.0928,0.761,0.617,0.938,0.0186,0.917,lm.nb,Antigen Processing and Presentation,NM_002806.3:412
ATP6V0D1-mRNA,-0.497,0.195,-0.879,-0.116,0.708,0.544,0.923,0.0188,0.917,lm.nb,"Cytoskeletal Dynamics, Ion Transport, Phagocytosis",NM_004691.4:970
PLP1-mRNA,0.8,0.313,0.186,1.41,1.74,1.14,2.67,0.0189,0.917,lm.nb,"Astrocyte DifferentiationFunction, Myelogenesis, Oligodendrocyte DifferentiationMaturation, Oligodendrocyte Markers",NM_000533.3:758
PLEKHB1-mRNA,0.828,0.325,0.19,1.46,1.77,1.14,2.76,0.0192,0.923,lm.nb,,NM_021200.3:575
ACSL4-mRNA,-0.587,0.232,-1.04,-0.132,0.666,0.486,0.912,0.0199,0.946,lm.nb,"Lipid Metabolism, Neurogenesis",NM_004458.2:385
ARPC5L-mRNA,-0.472,0.187,-0.839,-0.104,0.721,0.559,0.93,0.0206,0.967,lm.nb,Phagocytosis,NM_030978.3:1490
OPA1-mRNA,-0.545,0.219,-0.974,-0.116,0.685,0.509,0.923,0.0217,0.989,lm.nb,"Apoptosis, Neurogenesis",NM_130837.1:1355
TM4SF1-mRNA,-1.07,0.429,-1.91,-0.226,0.477,0.266,0.855,0.0218,0.989,lm.nb,A2 Astrocyte,NM_014220.2:263
GPM6A-mRNA,-0.531,0.213,-0.949,-0.112,0.692,0.518,0.925,0.0218,0.989,lm.nb,"Astrocyte Markers, Cytoskeletal Dynamics, Neurogenesis",NM_005277.3:790
SOX9-mRNA,0.644,0.259,0.136,1.15,1.56,1.1,2.22,0.0219,0.989,lm.nb,"Astrocyte Markers, Neurogenesis, Oligodendrocyte DifferentiationMaturation",NM_000346.3:868
SCOC-mRNA,-0.686,0.278,-1.23,-0.142,0.622,0.426,0.906,0.0226,0.989,lm.nb,"Microglial Markers, Primed Microglia",NM_032547.3:285
ATP5MC3-mRNA,-0.439,0.178,-0.787,-0.0907,0.738,0.579,0.939,0.0226,0.989,lm.nb,Glucose Metabolism,NM_001002258.4:340
CDC42-mRNA,-0.31,0.126,-0.557,-0.064,0.806,0.68,0.957,0.0227,0.989,lm.nb,"Cell Migration, Neurogenesis",NM_001039802.1:390
RLIM-mRNA,-0.519,0.211,-0.933,-0.106,0.698,0.524,0.929,0.0229,0.989,lm.nb,Antigen Processing and Presentation,NM_183353.2:975
SALL1-mRNA,0.619,0.252,0.126,1.11,1.54,1.09,2.16,0.0232,0.989,lm.nb,"Microglia Neurodegenerative Phenotype (MGnD), Neurogenesis",NM_002968.2:1120
C1QBP-mRNA,-0.413,0.168,-0.742,-0.0837,0.751,0.598,0.944,0.0232,0.989,lm.nb,"A1 Astrocyte, Apoptosis",NM_001212.3:745
EPB41L2-mRNA,0.229,0.0932,0.046,0.412,1.17,1.03,1.33,0.0235,0.989,lm.nb,Cytoskeletal Dynamics,NM_001199389.1:1880
ERLEC1-mRNA,-0.675,0.275,-1.21,-0.136,0.626,0.431,0.91,0.0235,0.989,lm.nb,Proteotoxic Stress,NM_001127397.2:810
ATRN-mRNA,-0.309,0.126,-0.557,-0.0614,0.807,0.68,0.958,0.0238,0.989,lm.nb,Myelogenesis,NM_001207047.1:1544
SERINC3-mRNA,-0.27,0.111,-0.487,-0.0536,0.829,0.714,0.964,0.0239,0.989,lm.nb,"Microglia Neurodegenerative Phenotype (MGnD), Primed Microglia",NM_006811.2:185
PSMD10-mRNA,-0.328,0.135,-0.591,-0.0638,0.797,0.664,0.957,0.0244,0.999,lm.nb,Antigen Processing and Presentation,NM_002814.2:275
GPR34-mRNA,1.16,0.475,0.224,2.09,2.23,1.17,4.25,0.0245,0.999,lm.nb,"Microglia Neurodegenerative Phenotype (MGnD), Microglial Markers, Primed Microglia",NM_005300.2:170
DNAJC5-mRNA,-0.431,0.178,-0.78,-0.0815,0.742,0.582,0.945,0.0253,1,lm.nb,"GABAergic Synapse, Proteotoxic Stress",NM_025219.3:230
TSPAN7-mRNA,-0.619,0.257,-1.12,-0.115,0.651,0.459,0.923,0.0259,1,lm.nb,Astrocyte Markers,NM_004615.3:725
PDHB-mRNA,-0.323,0.134,-0.586,-0.0598,0.8,0.666,0.959,0.026,1,lm.nb,Glucose Metabolism,NM_000925.3:555
SERPINA3-mRNA,-2.16,0.904,-3.93,-0.388,0.224,0.0654,0.764,0.0268,1,lm.nb,Astrocyte Markers,NM_001085.4:1220
YWHAZ-mRNA,-0.554,0.232,-1.01,-0.0983,0.681,0.497,0.934,0.0272,1,lm.nb,"Cell Cycle, Neurogenesis, Wnt Signaling",NM_001135699.1:515
MAPK9-mRNA,-0.447,0.188,-0.816,-0.0775,0.734,0.568,0.948,0.0279,1,lm.nb,MAPK & PI3K,NM_001135044.1:268
CDC27-mRNA,-0.343,0.145,-0.627,-0.0586,0.789,0.648,0.96,0.0283,1,lm.nb,Cell Cycle,NM_001256.3:2550
UBE2D2-mRNA,-0.178,0.0755,-0.326,-0.03,0.884,0.798,0.979,0.0287,1,loglinear,"Antigen Processing and Presentation, Proteotoxic Stress",NM_181838.1:1088
MOG-mRNA,0.955,0.407,0.158,1.75,1.94,1.12,3.37,0.0292,1,lm.nb,Oligodendrocyte Markers,NM_001008228.2:662
MYORG-mRNA,0.504,0.215,0.0832,0.925,1.42,1.06,1.9,0.0293,1,lm.nb,,NM_020702.5:1180
AMIGO1-mRNA,-0.478,0.204,-0.878,-0.0787,0.718,0.544,0.947,0.0294,1,lm.nb,"Myelogenesis, Neurogenesis, Primed Microglia",NM_020703.2:1455
POR-mRNA,-0.405,0.174,-0.746,-0.0641,0.755,0.596,0.957,0.0305,1,lm.nb,NO Metabolism and Signaling,NM_000941.2:114
ATP6V1D-mRNA,-0.421,0.181,-0.775,-0.0666,0.747,0.584,0.955,0.0305,1,lm.nb,"Ion Transport, Phagocytosis",NM_015994.2:390
NDUFB5-mRNA,-0.565,0.243,-1.04,-0.0888,0.676,0.486,0.94,0.0307,1,lm.nb,Cannabinoid Signaling,NM_002492.3:502
GAS7-mRNA,-0.406,0.176,-0.751,-0.0606,0.755,0.594,0.959,0.0321,1,lm.nb,"Neurogenesis, Primed Microglia",NM_201433.2:690
C1QA-mRNA,0.865,0.376,0.129,1.6,1.82,1.09,3.03,0.0322,1,lm.nb,"Astrocyte DifferentiationFunction, Complement System, Homeostatic Microglia, Microglial Markers",NM_015991.2:718
DLD-mRNA,-0.421,0.183,-0.779,-0.0626,0.747,0.583,0.958,0.0322,1,lm.nb,Glucose Metabolism,NM_000108.3:766
ACAT2-mRNA,-0.571,0.25,-1.06,-0.0811,0.673,0.48,0.945,0.0334,1,lm.nb,Lipid Metabolism,NM_005891.2:910
LAMTOR3-mRNA,-0.26,0.115,-0.485,-0.035,0.835,0.715,0.976,0.0348,1,lm.nb,Autophagy,NM_001243736.1:486
NWD1-mRNA,0.881,0.393,0.111,1.65,1.84,1.08,3.14,0.0365,1,lm.nb,,NM_001007525.3:3302
PRKCI-mRNA,-0.26,0.116,-0.487,-0.0326,0.835,0.713,0.978,0.0365,1,lm.nb,"Insulin Signaling, Neurogenesis",NM_002740.5:408
STXBP1-mRNA,-0.527,0.236,-0.988,-0.0647,0.694,0.504,0.956,0.037,1,lm.nb,Neurogenesis,NM_001032221.3:1620
GNB1-mRNA,-0.166,0.0749,-0.313,-0.0193,0.891,0.805,0.987,0.0383,1,loglinear,"Cannabinoid Signaling, Cholinergic Synapse, Dopaminergic Synapse, GABAergic Synapse, Glutamatergic Synapse, Serotonergic Synapse",NM_001282539.1:670
GFAP-mRNA,1.08,0.49,0.123,2.04,2.12,1.09,4.13,0.0389,1,lm.nb,"Astrocyte DifferentiationFunction, Astrocyte Markers, Cytoskeletal Dynamics, JAK-STAT",NM_002055.4:589
TSPO-mRNA,0.538,0.245,0.0585,1.02,1.45,1.04,2.03,0.0398,1,lm.nb,"Neuroactive Ligands and Receptors, Neurogenesis, NO Metabolism and Signaling",NM_000714.6:482
APLP2-mRNA,-0.233,0.106,-0.441,-0.0253,0.851,0.737,0.983,0.0398,1,lm.nb,Primed Microglia,NM_001642.2:1380
AKT3-mRNA,-0.285,0.13,-0.54,-0.0304,0.821,0.688,0.979,0.0402,1,lm.nb,MAPK & PI3K,NM_005465.4:287
CD74-mRNA,0.785,0.358,0.0834,1.49,1.72,1.06,2.8,0.0403,1,lm.nb,"Antigen Processing and Presentation, Microglial Markers, Primed Microglia",NM_001025158.2:189
PPT1-mRNA,-0.2,0.0917,-0.38,-0.0203,0.87,0.768,0.986,0.0412,1,lm.nb,Lipid Metabolism,NM_000310.3:826
CCL2-mRNA,-1.36,0.625,-2.59,-0.136,0.389,0.167,0.91,0.0416,1,lm.nb,"Chemokines, Microglial Markers",NM_002982.3:123
TYROBP-mRNA,0.892,0.412,0.0831,1.7,1.86,1.06,3.25,0.043,1,lm.nb,"Microglia Neurodegenerative Phenotype (MGnD), Stage 1 DAM",NM_003332.3:361
TICAM1-mRNA,0.481,0.224,0.0414,0.921,1.4,1.03,1.89,0.0444,1,lm.nb,"Apoptosis, NF-kappaB Signaling, NO Metabolism and Signaling",NM_014261.1:518
ATP6V1A-mRNA,-0.564,0.263,-1.08,-0.0483,0.676,0.473,0.967,0.0446,1,lm.nb,"Ion Transport, Phagocytosis, Primed Microglia",NM_001690.2:1320
TBK1-mRNA,0.191,0.0896,0.0156,0.367,1.14,1.01,1.29,0.0454,1,lm.nb,"Autophagy, Cytokines, NF-kappaB Signaling",NM_013254.2:1610
DLGAP1-mRNA,-0.562,0.265,-1.08,-0.0435,0.677,0.473,0.97,0.0463,1,lm.nb,Glutamatergic Synapse,NM_001003809.2:1222
SPP1-mRNA,0.828,0.392,0.0591,1.6,1.77,1.04,3.02,0.0476,1,lm.nb,"Microglia Neurodegenerative Phenotype (MGnD), Neurogenesis, Primed Microglia",NM_000582.2:760
CABLES1-mRNA,0.594,0.282,0.0421,1.15,1.51,1.03,2.21,0.0477,1,lm.nb,Cell Cycle,NM_001256438.1:955
MAG-mRNA,0.928,0.443,0.06,1.8,1.9,1.04,3.47,0.0491,1,lm.nb,"Myelogenesis, Oligodendrocyte DifferentiationMaturation",NM_001199216.1:1780
