"","FTD_E14-123","Control_E08-101","FTD_E15-66","AD_OS-140909","FTD_OS-150716","FTD_E07-70","FTD_E17-17","FTD_E08-24","FTD_E08-133","AD_E05-87","AD_E12-29","AD_E04-186","AD_E12-06","AD_E13-116","FTD_OS98-06","Control_OS03-390","Control_E06-41","Control_E14-06","Control_E05-130","Control_OS02-35","AD_E06-155","Control_E05-74","Control_E16-45","AD_E11-139"
"TMEM119 - mRNA",7.59614463932964,5.79494334911891,5.80403704108735,6.3610121287832,6.7500385702118,6.64470231475406,6.71241078533365,5.73421879837422,5.46511333745385,6.55515754364983,6.09847364856034,6.66326338407224,6.96298363769788,6.94642985034183,5.42366274584109,5.24483318161912,5.2731091998827,4.92737938334533,5.63381294452185,4.97358762832665,5.89802826889009,5.62659907085825,5.01414249255519,5.29534680546032
"ITGAX - mRNA",6.59614463932964,6.221208103821,6.8529466415683,7.44507639357168,6.24414764048184,7.28213223536935,7.47712136998276,6.73421879837422,5.85040349333864,6.80383665650656,6.29591971276656,6.44985974596305,7.98945584905907,7.70542175083804,5.28615922209116,5.37036406370298,5.2233561646856,5.77126018142805,6.24889543361935,5.85941660840734,6.41740242798367,5.88035566310403,5.29425041174793,5.24559377026322
"EGF - mRNA",7.77448188058815,6.43879953889363,7.09580316546446,6.3170687811956,6.90407219888422,6.63005553878966,6.29269679884533,6.96554434448067,5.73304654270049,6.18234827976029,5.72763595319203,6.19931628431245,6.98945584905907,6.65538106833844,6.11397824670848,5.61829157714657,5.88231924685053,5.79172428398776,6.44897326906826,5.65947903789859,6.13409562712361,5.59858469468865,5.86975258322002,5.71648450427558
"TLR7 - mRNA",8.34821712588606,6.49538306726,6.5899122357345,6.94597462950436,7.83391112746682,7.28213223536935,6.93280085375895,6.04354685648194,5.37396544939566,6.14487357434162,6.13644149875936,7.2482258847934,7.35784325503909,6.84590297438787,5.32178313182188,5.10732965786919,5.43486026987931,5.52462021384492,6.15021115875994,5.71681221296454,5.83243992726251,5.48074820439479,5.52871566538495,5.67949029679338
"ITGAM - mRNA",7.39261124524451,6.54983085128238,6.95728330138303,6.94597462950436,7.39470731705722,6.65920188444917,6.48534187678773,6.60297426509596,5.97968651028361,6.23679606378266,6.45461745878562,7.18682534012925,6.85195232530914,6.90420161495253,5.39049588190589,5.78540156298183,5.84989776915815,5.87079585497896,5.83782683654345,6.19149265867078,6.32503840983501,5.48074820439479,5.59910499327635,6.0992042832817
"PTPRC - mRNA",7.80764874452335,5.79494334911891,6.84087380926772,6.59979898837032,7.32821190527032,7.01534569467445,6.94477349542503,6.81056968450433,5.95892795011681,5.98440890214838,6.13644149875936,6.86489724524189,6.76268498721205,6.72172356316714,4.91842743759067,5.2772546593115,5.91402810657787,5.619257087983,5.65196029123211,6.41580995693172,5.92973712861743,5.31847677549591,5.04808982447853,5.58262875754079
"TAP1 - mRNA",7.15557204794366,9.13033370381283,7.09580316546446,5.57513693413605,6.38165116423178,6.39038512602137,6.61087275887159,6.42011020794615,5.78114083090153,5.56937140286953,5.84693488156438,7.08280227558603,6.29555897678475,6.10397112732831,6.43996455817019,6.65576628256523,6.00517599463606,5.2858333542578,5.97388838611948,6.16427118993576,5.13409562712361,5.01362219396749,5.59910499327635,5.36690006648535
"FCAR - mRNA",8.20619812101363,7.04287086256249,6.13588060483979,5.44507639357168,6.42047041312231,5.65920188444917,7.0919994486082,7.04354685648194,5.8727713063671,5.35637767953533,5.91404907742291,6.14869021124248,7.51187688371151,6.24599013220074,6.35654854998256,6.42925775275655,5.83340964636958,5.68637128384153,5.30731211984467,5.71681221296454,4.40617517256041,4.92615935271715,4.14538702583345,5.66063126954206
"KCND1 - mRNA",7.59614463932964,6.52286380368211,6.94605604595978,5.88708094045079,5.72957446765208,6.37289769929253,6.46885375399916,7.16485315270408,6.05985685896759,5.85114237128491,5.84693488156438,6.34133528918488,6.9085358536755,6.22327005570066,6.67847664486992,5.91468457992679,5.06289149249235,4.92737938334533,5.47977931584943,5.45002567226964,5.28881822192225,6.15497804321303,5.479806064904,5.45709787545693
"SELENOS - mRNA",7.99207331566078,6.2543749677562,6.5899122357345,5.10947336178724,5.77021645214943,5.92223629028297,6.04827807117889,6.27674603277497,5.91649268379642,5.51165590501324,5.54208030003596,6.06925574374808,6.5656481401525,6.0273498457254,6.09351414414876,5.71613890054471,4.91402810657787,5.10140878312038,5.05795265090795,5.15046539041073,4.72810326744778,5.70751906624181,4.97937707439452,5.27068475122605
"P2RY14 - mRNA",7.80764874452335,7.52286380368211,6.64649576410087,6.63601917628307,6.07602488167352,7.00403038144661,6.7807977603139,7.22188409774046,7.09833100678223,6.12576475139392,5.89202277109291,6.94124813137201,7.18537605903433,5.86069997631595,6.42366274584109,5.78540156298183,6.00517599463606,5.68637128384153,5.30731211984467,4.94187876859931,4.49363801381075,5.92615935271715,5.14538702583345,5.27068475122605
"HSD11B1 - mRNA",6.99207331566078,6.08034556798116,5.46961800201679,6.17658755764577,6.79011600958714,6.47477731331174,6.29269679884533,6.65360033816593,6.49425968311337,6.026229077843,5.59757541262766,5.9851914789596,7.27418532599218,7.17672746976363,6.9642311272038,5.95532656442414,6.04867763327265,5.5488677600916,5.39612138680252,5.17794612683284,4.53545818950538,5.59858469468865,5.6879142602342,6.01261659828561
"P2RY11 - mRNA",6.87177908194307,6.96486835056122,6.53101854668093,6.28701154733942,6.65557388620831,6.31912644285155,6.62582310033756,6.6369215970193,6.49425968311337,6.16373260159294,6.40881376917249,7.16151425160007,6.9085358536755,6.68893362804947,6.70569811360494,6.55358588775875,5.19782107257846,4.88990467792667,5.35240000937321,5.06473551638485,5.88190860352681,5.94852716574561,5.97937707439452,5.58262875754079
"TMEM88B - mRNA",8.1811071400508,6.81731116214736,5.40548766459707,5.86690305851316,5.55448776109399,6.45828919052318,6.21573481703045,5.60297426509596,5.30983511197594,6.62486651546124,6.13644149875936,6.09622279134835,8.12695937280901,8.10397112732831,6.60808731697852,5.99485492861078,4.51974916746582,4.88990467792667,4.33003219634475,5.30800666739721,5.86560679119771,6.51112185343831,5.59910499327635,4.66063126954206
"ADGRA2 - mRNA",6.34821712588606,6.15249535373699,5.99045016531823,5.94597462950436,5.7500385702118,6.12387015145262,6.11337309940077,6.36040396182189,6.19025349622327,5.62486651546124,5.99893797500943,6.40742447964265,6.06607713066198,5.67225488690284,5.60808731697852,5.33999041465946,5.39046615052086,5.10140878312038,4.33003219634475,4.8423430950484,4.53545818950538,5.59858469468865,5.86975258322002,5.16759125826195
"TRAC - mRNA",8.20619812101363,5.88240619036925,5.26798414084714,5.78324512946625,5.27271679267861,5.40766311745321,6.04827807117889,5.42011020794615,6.19025349622327,5.62486651546124,6.37744959826316,6.34133528918488,6.79305863625557,5.73784322853041,5.54919362792495,5.07080378184408,4.4779289917712,5.13383026081276,4.3744263157032,4.73542789113189,4.40617517256041,5.24808744760452,5.81164962865645,4.58262875754079
"PHYH - mRNA",7.10310462804952,6.62783336328365,6.21284258665468,5.88708094045079,5.60029145070712,5.96954200506132,5.75383071271363,6.06863783744477,6.05985685896759,5.87422598439795,5.93574414852223,6.06925574374808,6.66752775417171,5.67225488690284,6.54919362792495,5.93514868248651,6.04867763327265,6.06824191918518,5.8998878046757,5.771953767157,5.28881822192225,6.01362219396749,6.14538702583345,5.7877431874454
"DLX2 - mRNA",7.25510772149457,5.83933746847736,5.50064489763741,6.30211843972963,5.92221954559448,6.31912644285155,6.46885375399916,6.45858435576079,5.8947976126971,5.6783057744227,6.32908657670176,6.31861521268479,7.04098614969915,5.76955208825775,6.39049588190589,5.54028906514529,5.84989776915815,5.57271450204597,5.59681873703965,5.38076300983252,5.1066148907015,5.59858469468865,6.11367816610611,5.6025283149785
"NLRP3 - mRNA",7.34821712588606,5.70183394472743,5.67397650052298,5.73952375203693,6.50718204631564,6.08143488513222,6.53370489834913,5.96554434448067,5.68329350750339,5.48190856161919,6.22720696268254,6.04177500732597,6.82280597964962,5.73784322853041,6.40717462305252,5.7395978733687,5.86619958148725,6.16553912054009,6.42806427930528,6.19149265867078,4.92973712861743,5.73351427477476,5.7511080867214,5.29534680546032
"KCNK13 - mRNA",7.55767049151501,6.00439671474786,6.09580316546446,5.52451086106608,5.77021645214943,5.33727378956181,5.11337309940077,4.96554434448067,4.97968651028361,5.38879915722771,5.82385126845134,6.09622279134835,6.93601659009761,5.94642985034183,5.13415612864611,5.21166631768392,5.29735674612937,5.19656601616072,5.91499469706591,5.00461452394728,5.13409562712361,6.1356127183461,5.26568125955116,5.45709787545693
"MAPK13 - mRNA",8.1811071400508,5.70183394472743,6.56076589007499,5.90698049788849,5.88569366956937,5.84823570883919,5.02591025815043,5.91109656045829,5.6317632068633,6.14487357434162,6.05947951694448,6.22397833854672,6.85195232530914,6.47480882269662,5.66467084534489,5.66804461234367,5.39046615052086,5.92737938334533,5.55885088684063,4.97358762832665,5.21353009461802,5.28371135733524,5.479806064904,5.69810597496073
"BDNF - mRNA",5.93317962660721,5.65292434424648,3.26798414084714,4.47204344117194,3.92221954559448,3.6003081953956,4.48534187678773,3.6700884609545,4.55084321147974,4.2892634836768,5.48436480217967,4.92629778990603,4.53002423042177,4.88984632197546,5.17368449283275,4.91468457992679,6.59991951614981,6.44933208654068,6.67876035057583,5.92575910323604,5.36037148294729,7.69434367749408,5.62182506977643,5.3899836795984
"GJD2 - mRNA",7.20619812101363,5.49538306726,4.8529466415683,6.52451086106608,5.68775429195746,5.94608303223733,5.98010656853731,5.9385772968804,5.40499234501628,5.14487357434162,5.80039229562735,5.19931628431245,5.9085358536755,5.67225488690284,6.11397824670848,6.16044099432875,6.88231924685053,7.30018864723487,6.94474204045996,6.33266872163148,6.30099293586836,6.93738660814041,6.54068830705103,6.22005867815608
"RET - mRNA",6.04865684402715,5.04287086256249,4.80403704108735,6.02093668718558,5.57757137420703,5.0597398140329,6.02591025815043,6.01801176437481,5.95892795011681,5.87422598439795,5.7025449722292,5.19931628431245,5.53002423042177,5.00087763436421,5.66467084534489,6.12525156586645,6.84989776915815,6.68637128384153,5.91499469706591,6.80757767688772,6.39485985933258,5.97055347207561,6.6879142602342,6.23288271851367
"PNOC - mRNA",6.25510772149457,6.2543749677562,5.11598104740209,6.07470794362656,5.45827244583469,5.84823570883919,5.61087275887159,6.27674603277497,5.13580571220089,4.80383665650656,5.32908657670176,5.42879813043522,5.37802113697672,4.8309526329219,5.42366274584109,4.6433825581094,6.03432234029558,6.3562226821492,6.86141365686106,5.49441979162809,5.47226436301819,7.41801244904683,5.55256240733932,5.98255936442943
"CHRM2 - mRNA",6.80764874452335,5.31850530517592,4.90025235634665,5.47204344117194,5.50718204631564,5.63005553878966,5.83326518020804,5.60297426509596,4.85040349333864,5.18234827976029,5.07910832369341,5.38572940854333,5.73165809159142,5.00087763436421,4.71911862936726,4.59275648503943,5.74801815513894,5.96390525937044,5.97388838611948,5.5793086892146,6.30099293586836,5.51112185343831,5.42917999183404,5.93626571215549
"IL1B - mRNA",6.59614463932964,5.2543749677562,5.70094354812325,5.33186578312368,4.8482189641507,4.71578541281554,4.54947221420745,4.45858435576079,4.37396544939566,3.35637767953533,4.57009467620555,4.92629778990603,5.11498673114293,6.17672746976363,4.05169396845413,4.30896351903884,8.87830618434391,5.94575791266018,5.94474204045996,5.2313853857943,2.99113767328157,3.73351427477476,4.01414249255519,4.16759125826195
"IL6 - mRNA",6.59614463932964,6.74913965950578,5.96842385898823,5.30211843972963,4.55448776109399,4.40766311745321,5.48534187678773,5.16485315270408,5.49425968311337,4.2188741557854,4.86965495806446,4.51126029062719,5.79305863625557,6.10397112732831,4.13415612864611,7.99972068378259,10.5522278938255,3.96390525937044,4.13738711840235,5.09388186204436,4.05003136233514,6.09608435415947,3.79175007121875,3.73463185098584
"PTH2R - mRNA",7.10310462804952,5.11687144400627,6.3889995418085,6.71715593900848,5.97533088205404,5.18527069611676,6.00319018165035,5.70250993864688,6.50861497609044,7.04669318040272,7.40103641858077,6.57015397968076,6.88052147750591,6.72172356316714,6.78441008961898,7.4074533824382,8.0593511347871,7.87559684124278,7.13093209626506,7.56376783831883,5.94533398366844,6.24808744760452,7.84099359023859,7.62215712172743
"RXFP1 - mRNA",7.30241343627293,5.11687144400627,5.11598104740209,6.25631475011651,6.49510921401506,5.14462871161941,6.31131247701268,6.09329989167904,5.8727713063671,6.87422598439795,6.40881376917249,5.86489724524189,6.33737915247938,6.87534675228035,7.10378247960259,5.93514868248651,7.131933136922,7.37668678470892,7.07822504593421,7.87629042697174,8.69388755210986,7.62659907085825,6.56433957511567,7.13380294480566
"NOS2 - mRNA",6.87177908194307,6.79494334911891,4.46961800201679,6.3170687811956,5.57757137420703,5.79670540819911,6.61087275887159,6.14139417988009,6.56464901100477,5.89694606089804,6.97817941484263,6.19931628431245,7.06607713066198,5.91841547417224,7.20263586652887,6.71613890054471,6.32120348808374,6.43639303083319,5.00245753831625,5.5793086892146,5.07860051453191,5.57001554249188,6.8214974146128,6.29534680546032
"CCNA1 - mRNA",5.67014522077342,5.96486835056122,6.03351888721012,6.1600994348572,5.79011600958714,5.71578541281554,5.85880027231517,5.70250993864688,6.04022805221866,6.10639942652699,6.19158305295182,5.62673750804713,6.25249025489286,6.26835794522919,6.45608422353347,6.49964708064795,6.70334910580521,7.10140878312038,7.18178123776081,6.88465389990636,6.85738628439274,7.28371135733524,6.64419288280489,6.83055627098438
"TNFRSF11A - mRNA",5.93317962660721,6.83933746847736,6.45385068615847,6.17658755764577,5.829110141203,5.01534569467445,6.11337309940077,5.6700884609545,6.15418424151575,6.23679606378266,6.77654555367298,7.17422530334962,5.9085358536755,6.6383075549795,5.98659894023225,6.52686854938297,6.73919430475193,6.93659791337471,7.07822504593421,6.29551572321401,6.96076402423805,6.9595823542546,6.6105097565486,6.55225510849727
"PTGS2 - mRNA",8.12957683941072,7.40965319323412,6.03351888721012,5.86690305851316,5.90407219888422,5.68777103664594,6.31131247701268,5.82536668643241,5.8727713063671,5.75492705602561,5.65101467158912,6.04177500732597,7.29555897678475,6.20018644258761,6.05169396845413,6.37036406370298,8.00517599463606,6.88038190380816,6.70507162769168,6.65947903789859,5.92973712861743,6.15497804321303,5.86975258322002,5.85564725194721
"TRIM46 - mRNA",6.93317962660721,5.60229827117651,5.50064489763741,6.4853402637854,6.12385340676413,5.79670540819911,6.36576026103506,6.40048140119722,6.34225658966832,6.37267949186443,6.29591971276656,6.6811852920695,6.9085358536755,6.54977088037784,7.2680118753809,6.45782690495332,6.00517599463606,6.16553912054009,6.50994128635969,6.10823715502143,6.09267569974363,6.86867385805639,6.46731512072081,6.20711962244858
"TRIM45 - mRNA",7.25510772149457,6.54983085128238,6.70094354812325,6.78324512946625,6.27271679267861,6.91016345798239,7.31131247701268,7.29811968356754,6.64481935968875,5.89694606089804,6.54208030003596,6.64511603736198,6.98945584905907,6.24599013220074,6.95291581397596,6.57981742933193,6.78278357329962,6.79172428398776,6.05795265090795,6.06473551638485,5.94533398366844,6.83304994832567,6.30832559695965,5.64152244659436
"E2F3 - mRNA",7.25510772149457,7.221208103821,5.92333596945969,6.815188021969,6.35517895287059,6.3007479135367,6.80726997167509,6.55050684520183,6.57832394790184,6.43610487200607,6.72763595319203,6.84912992938357,7.39792069441443,6.70542175083804,7.41544223903612,7.10732965786919,6.79985708665856,6.75050162126125,6.92994503853188,6.50530810777083,6.50420725552094,7.31847677549591,6.7511080867214,6.47879294655625
"GRIN3A - mRNA",6.67014522077342,5.65292434424648,6.37232080066187,7.44507639357168,7.32821190527032,7.4991614719387,7.63324057190004,7.43947553281308,6.8727713063671,7.18234827976029,6.85833964483663,7.39661772468607,7.61748707167211,6.93249065938396,8.47202576740249,6.72791606832107,6.99037899270798,7.65320441990633,8.21267524570659,7.92980593629874,8.31005701829659,8.59858469468865,7.16871952966407,7.37270568816656
"RASGRP1 - mRNA",6.34821712588606,6.57630306264357,6.15550941158873,7.55635972710542,7.29377840820644,6.18527069611676,7.11337309940077,6.29811968356754,7.32613692430504,7.74243611184241,6.93574414852223,6.5311598480649,7.16229244592129,7.0273498457254,7.84687417656564,6.91468457992679,7.08395310802018,7.96840665160538,8.03393576978941,8.18811793189013,8.95306963244805,7.75270784000807,7.82639621402564,7.98255936442943
"GRM2 - mRNA",7.34821712588606,6.90346780589708,5.56076589007499,6.76155005836693,7.00968238684482,6.20517025355447,6.79409458292736,6.8830821842887,6.94843557629917,7.40474070109673,7.29591971276656,7.5311598480649,7.53002423042177,7.38554148459953,6.74559084072846,6.70426480025642,6.51974916746582,6.93659791337471,7.74788471123065,5.67884436276552,6.99863220982849,8.37737046454948,7.39000939455336,6.83896851080058
"DRD1 - mRNA",7.67014522077342,6.00439671474786,5.70094354812325,7.69443586250839,7.43949523880406,6.35519569755907,7.07030437750889,6.23302465534566,6.8616307487619,7.60430519297892,7.7025449722292,7.65421824446923,7.31662059231258,7.50337797489339,6.9642311272038,7.55358588775875,7.32120348808374,7.32145726398853,7.65646168346705,7.42156922622041,7.96459588582908,8.01891649363701,7.99251247658365,8.1709269708252
"CACNA1E - mRNA",7.34821712588606,6.221208103821,6.70094354812325,6.92660930463743,6.89491219959875,5.94608303223733,6.87140030909481,6.53258493720457,6.8616307487619,7.51165590501324,7.33726050814746,7.79254640101721,7.51187688371151,6.96023564986686,7.28615922209116,7.23661267481416,7.2233561646856,7.39686466664655,6.80576562731115,7.06473551638485,7.61562853818936,7.99762171527378,7.44200403219162,7.35521826143772
"CDK7 - mRNA",7.39261124524451,7.02376203961479,6.67397650052298,7.24853739952479,7.307650582788,6.49107912564085,7.12394234111096,7.01801176437481,6.94843557629917,6.89694606089804,7.04956404807939,6.34133528918488,6.98945584905907,6.65538106833844,7.22161896989645,7.04278940567448,7.57037524053579,7.61352071843385,7.5394855619737,7.57414698409882,7.05722686373934,7.33555028885486,7.25118168985604,7.60746061052073
"GRM7 - mRNA",6.59614463932964,6.15249535373699,5.82869909532162,7.10947336178724,6.9578434553252,6.18527069611676,6.83326518020804,6.51443759049431,6.56464901100477,6.85114237128491,7.28750747295036,6.83318838551455,6.66752775417171,6.86069997631595,6.15405568608381,7.32456037408986,8.03432234029558,7.57861510348565,7.39612138680252,7.62495135477032,6.77249738680623,7.77790839413321,7.77664317882854,7.7525537589831
"MAD2L1 - mRNA",6.87177908194307,6.43879953889363,6.46961800201679,7.17658755764577,6.97533088205404,6.39038512602137,7.14485133087394,6.868868325069,6.8616307487619,6.80383665650656,7.25335925053851,6.92629778990603,6.93601659009761,6.49391764564433,6.2310176678987,7.39273187673144,7.54528425957296,7.60776144914517,7.59212704171493,7.74004451920226,6.93755663307673,7.27488750694823,7.43560626099347,7.42951204378503
"SLC17A6 - mRNA",8.27895446344894,6.57630306264357,6.13588060483979,7.75607492830078,6.68775429195746,5.89798874403629,6.61087275887159,5.79561934303836,6.74522125664659,6.51165590501324,7.26197238084322,7.50120662596327,7.71589077573311,6.80057898387838,9.10122223928403,8.47190209016505,8.58768284363091,7.8318017233631,6.87692665623239,7.82071307907685,6.53545818950538,7.59149526990233,8.15320653029275,7.87213537473577
"LPL - mRNA",7.55767049151501,7.52286380368211,6.75341096801738,6.78324512946625,6.99260887348588,6.77023319683792,7.58049910982807,6.92490235998333,7.21672570758446,6.69136192724814,7.09847364856034,7.4393673721454,7.66752775417171,7.27941313373819,7.8345958467872,8.2772546593115,8.14201020960996,7.38344415088423,6.9074610243805,7.4387103590418,6.12042069022654,6.46531816382518,6.6879142602342,6.79640804857253
"TBR1 - mRNA",7.6336193447483,6.86103253957668,5.46961800201679,7.00255815787072,6.47065617029052,6.01534569467445,6.87140030909481,6.53258493720457,6.74522125664659,7.61804524960522,7.49170677752084,7.30711957384696,7.88052147750591,7.05334505425834,8.44804690446805,7.4074533824382,7.08395310802018,6.80184850126147,6.69635441059057,7.43301924696395,7.5710820992361,7.38559097135445,7.24387688923281,7.04206037617809
"NRG1 - mRNA",7.99207331566078,6.54983085128238,5.46961800201679,7.1600994348572,6.24414764048184,6.01534569467445,7.21573481703045,6.58569627366413,6.83908818011081,7.27198549224496,7.18253791334882,6.60812182987978,7.456023648978,6.75378477239944,8.53787831469712,7.30896351903884,7.14535365268432,7.49995815961065,7.20039691592816,7.35089248025039,7.05722686373934,7.30119878406408,7.57602138016331,7.0565599458732
"GABRD - mRNA",7.15557204794366,8.24615446095124,5.64649576410087,7.59367288557348,6.98399574318117,6.3007479135367,7.16546161054923,6.81056968450433,7.55776262541953,7.46680166922898,7.96768704102499,7.40742447964265,7.88052147750591,7.16485336947533,8.08835243903298,8.0568645908862,8.21701463781177,8.18113597559111,7.75629695104685,7.99305749252487,7.20707507248072,8.04510042544066,7.8214974146128,8.08512909806997
"CUX2 - mRNA",7.43567996713639,7.2706767800853,6.33837346873854,7.89208162150915,7.43949523880406,6.42473663081215,7.0919994486082,6.65360033816593,8.01027483011703,7.42832752141435,8.95976737772875,8.18682534012925,8.35784325503909,7.62102956354766,8.15898798162604,8.6433825581094,8.6431315829711,8.38681100198263,8.08491969850822,7.30177471368569,5.51469962933858,8.09106627939284,8.44200403219162,8.62215712172743
"GLRA3 - mRNA",8.32549704938597,7.43879953889363,6.93474073273194,7.27939836322955,7.26562736789229,6.18527069611676,6.68412174090223,6.06863783744477,6.90568592883983,7.29782549718022,7.97294276647648,8.34695983837876,7.74725494664244,7.68893362804947,6.99765412874125,7.90434263570533,8.01617499358532,8.41016148926001,8.52232501081552,7.61493259894532,7.82402768744631,8.97055347207561,7.96167507266106,8.14402278712354
"XK - mRNA",8.37058493891451,6.62783336328365,6.05458050273795,7.46534878859794,6.70881590748529,6.92223629028297,7.2255826029868,6.6700884609545,7.1077913360313,7.72349454818895,7.57701409014534,7.64511603736198,7.92234165320053,7.29038425155919,8.04104672425463,8.04278940567448,7.81253091669367,7.8318017233631,8.20347630886013,7.77645515939194,7.96841759678149,7.77164940366153,7.93470802506079,7.80072104144361
"CCNB1 - mRNA",8.70576913050414,7.52286380368211,7.14572839079614,7.19288936997487,7.43949523880406,6.95786020001369,7.00319018165035,6.9385772968804,6.85040349333864,7.24567421512911,7.72763595319203,8.36370310221333,7.96298363769788,7.54977088037784,7.7715860492614,7.71613890054471,7.25465229517514,7.30018864723487,7.37442631570321,7.32039039185304,7.48832421391428,7.29248156696297,7.58182700184451,7.56752186515058
"DLX1 - mRNA",8.20619812101363,5.43879953889363,6.84087380926772,7.39663603851392,7.37507851030829,7.72959121234057,7.29269679884533,7.41032918715357,7.26825600822454,6.82768339846092,7.21838311229554,7.18682534012925,7.82280597964962,6.78514894330877,7.21215864064738,6.76268148648174,7.131933136922,6.74000924744361,6.86919100745278,6.24444153861974,6.23906518672515,7.51861638998523,7.04808982447853,7.1808880808754
"TICAM1 - mRNA",7.43567996713639,7.4673686910904,7.46175588424382,7.51157180535858,7.61709973839367,7.82912688589149,7.83326518020804,7.48678124759144,7.7391467422369,7.57642616040348,7.90307795960191,8.25422462541484,7.83745275561402,7.76955208825775,7.578940971319,7.59275648503943,7.01251796997723,6.59617347486996,7.09821652112168,6.8423430950484,6.82402768744631,7.32703878899934,7.07303618160876,6.8473319837352
